member_a_id,member_b_id,member_a_name,member_b_name,votes_same,bills_same,mutual_sponsorships
A000360,A000368,Lamar Alexander,Kelly Ayotte,30,31,3
A000360,B001230,Lamar Alexander,Tammy Baldwin,26,33,2
A000360,B001261,Lamar Alexander,John Barrasso,31,33,2
A000360,B001267,Lamar Alexander,Michael Bennet,31,33,1
A000360,B001277,Lamar Alexander,Richard Blumenthal,28,33,2
A000360,B000575,Lamar Alexander,Roy Blunt,29,33,3
A000360,B001288,Lamar Alexander,Cory Booker,23,32,2
A000360,B001236,Lamar Alexander,John Boozman,30,33,3
A000360,B000711,Lamar Alexander,Barbara Boxer,20,26,1
A000360,B000944,Lamar Alexander,Sherrod Brown,26,33,0
A000360,B001135,Lamar Alexander,Richard Burr,30,33,2
A000360,C000127,Lamar Alexander,Maria Cantwell,29,33,1
A000360,C001047,Lamar Alexander,Shelley Capito,31,32,3
A000360,C000141,Lamar Alexander,Benjamin Cardin,28,33,0
A000360,C000174,Lamar Alexander,Thomas Carper,27,30,1
A000360,C001070,Lamar Alexander,Bob Casey,29,33,1
A000360,C001075,Lamar Alexander,Bill Cassidy,30,31,3
A000360,C000542,Lamar Alexander,Daniel Coats,32,33,3
A000360,C000567,Lamar Alexander,Thad Cochran,31,33,2
A000360,C001035,Lamar Alexander,Susan Collins,29,33,3
A000360,C001088,Lamar Alexander,Christopher Coons,28,32,2
A000360,C001071,Lamar Alexander,Bob Corker,28,32,1
A000360,C001056,Lamar Alexander,John Cornyn,33,33,3
A000360,C001095,Lamar Alexander,Tom Cotton,28,33,1
A000360,C000880,Lamar Alexander,Michael Crapo,25,33,2
A000360,C001098,Lamar Alexander,Ted Cruz,15,23,1
A000360,D000618,Lamar Alexander,Steve Daines,30,33,3
A000360,D000607,Lamar Alexander,Joe Donnelly,29,33,3
A000360,D000563,Lamar Alexander,Richard Durbin,27,32,2
A000360,E000285,Lamar Alexander,Michael Enzi,30,32,2
A000360,E000295,Lamar Alexander,Joni Ernst,30,33,2
A000360,F000062,Lamar Alexander,Dianne Feinstein,30,33,2
A000360,F000463,Lamar Alexander,Deb Fischer,29,33,2
A000360,F000444,Lamar Alexander,Jeff Flake,27,33,2
A000360,F000457,Lamar Alexander,Al Franken,26,33,3
A000360,G000562,Lamar Alexander,Cory Gardner,30,30,2
A000360,G000555,Lamar Alexander,Kirsten Gillibrand,25,32,1
A000360,G000359,Lamar Alexander,Lindsey Graham,24,26,3
A000360,G000386,Lamar Alexander,Charles Grassley,31,33,3
A000360,H000338,Lamar Alexander,Orrin Hatch,31,33,4
A000360,H001046,Lamar Alexander,Martin Heinrich,28,33,2
A000360,H001069,Lamar Alexander,Heidi Heitkamp,30,33,1
A000360,H001041,Lamar Alexander,Dean Heller,29,32,2
A000360,H001042,Lamar Alexander,Mazie Hirono,28,33,2
A000360,H001061,Lamar Alexander,John Hoeven,31,33,1
A000360,I000024,Lamar Alexander,James Inhofe,31,33,3
A000360,I000055,Lamar Alexander,Johnny Isakson,30,33,2
A000360,J000293,Lamar Alexander,Ron Johnson,32,32,1
A000360,K000384,Lamar Alexander,Tim Kaine,27,30,2
A000360,K000383,Lamar Alexander,Angus King,29,33,2
A000360,K000360,Lamar Alexander,Mark Kirk,28,30,3
A000360,K000367,Lamar Alexander,Amy Klobuchar,29,33,2
A000360,L000575,Lamar Alexander,James Lankford,26,33,2
A000360,L000174,Lamar Alexander,Patrick Leahy,24,32,2
A000360,L000577,Lamar Alexander,Mike Lee,17,30,1
A000360,M001183,Lamar Alexander,Joe Manchin,29,33,3
A000360,M000133,Lamar Alexander,Edward Markey,24,33,0
A000360,M000303,Lamar Alexander,John McCain,32,33,2
A000360,M001170,Lamar Alexander,Claire McCaskill,29,31,3
A000360,M000355,Lamar Alexander,Mitch McConnell,31,33,1
A000360,M000639,Lamar Alexander,Robert Menendez,24,32,1
A000360,M001176,Lamar Alexander,Jeff Merkley,24,33,0
A000360,M000702,Lamar Alexander,Barbara Mikulski,26,31,0
A000360,M000934,Lamar Alexander,Jerry Moran,29,32,2
A000360,M001153,Lamar Alexander,Lisa Murkowski,29,30,2
