member_a_id,member_b_id,member_a_name,member_b_name,metric
N000032,R000307,Bill Nelson,Pat Roberts,0.36
P000603,S000320,Rand Paul,Richard Shelby,0.7083333333333334
C001098,W000818,Ted Cruz,John Walsh,0.6666666666666666
I000055,M001170,Johnny Isakson,Claire McCaskill,0.7727272727272727
C001056,F000062,John Cornyn,Dianne Feinstein,0.44
D000607,N000032,Joe Donnelly,Bill Nelson,0.92
J000177,R000146,Tim Johnson,Harry Reid,0.9230769230769231
H001069,J000291,Heidi Heitkamp,Mike Johanns,0.6363636363636364
F000463,T000250,Deb Fischer,John Thune,0.8
C001070,C000560,Bob Casey,Tom Coburn,0.2916666666666667
B001230,C000880,Tammy Baldwin,Michael Crapo,0.36
L000577,S000770,Mike Lee,Debbie Stabenow,0.2
G000386,J000177,Charles Grassley,Tim Johnson,0.4230769230769231
C001100,C001099,Jeffrey Chiesa,William Cowan,0.6666666666666666
C000286,T000461,Saxby Chambliss,Patrick Toomey,0.64
C001098,F000463,Ted Cruz,Deb Fischer,0.64
H000338,J000293,Orrin Hatch,Ron Johnson,0.6538461538461539
G000555,S001194,Kirsten Gillibrand,Brian Schatz,0.9166666666666666
F000463,W000818,Deb Fischer,John Walsh,0.6666666666666666
F000457,S000033,Al Franken,Bernard Sanders,0.88
G000359,H001069,Lindsey Graham,Heidi Heitkamp,0.75
B000575,H001049,Roy Blunt,Kay Hagan,0.7692307692307693
C000880,T000464,Michael Crapo,Jon Tester,0.5
T000250,W000818,John Thune,John Walsh,0.6666666666666666
L000261,W000805,Carl Levin,Mark Warner,0.88
F000444,K000360,Jeff Flake,Mark Kirk,0.7391304347826086
I000055,S001181,Johnny Isakson,Jeanne Shaheen,0.6923076923076923
R000584,T000250,Jim Risch,John Thune,0.7307692307692307
L000174,S000770,Patrick Leahy,Debbie Stabenow,0.8846153846153846
L000261,M000133,Carl Levin,Edward Markey,0.8823529411764706
W000805,W000802,Mark Warner,Sheldon Whitehouse,0.8
M001170,S001181,Claire McCaskill,Jeanne Shaheen,0.8636363636363636
C001070,J000177,Bob Casey,Tim Johnson,0.88
L000261,V000127,Carl Levin,David Vitter,0.6538461538461539
B000575,M000702,Roy Blunt,Barbara Mikulski,0.7307692307692307
M000934,S000320,Jerry Moran,Richard Shelby,0.6363636363636364
B000944,R000122,Sherrod Brown,Jack Reed,0.88
H001049,M000702,Kay Hagan,Barbara Mikulski,0.9230769230769231
B000575,S001194,Roy Blunt,Brian Schatz,0.7083333333333334
B001230,C000141,Tammy Baldwin,Benjamin Cardin,0.92
K000384,P000590,Tim Kaine,Mark Pryor,0.92
C001035,H001061,Susan Collins,John Hoeven,0.8846153846153846
B001236,H001042,John Boozman,Mazie Hirono,0.52
R000584,W000818,Jim Risch,John Walsh,0.5
C001098,R000584,Ted Cruz,Jim Risch,0.8
F000457,M000934,Al Franken,Jerry Moran,0.5909090909090909
B000711,E000285,Barbara Boxer,Michael Enzi,0.4166666666666667
H000206,R000361,Tom Harkin,John Rockefeller,0.92
C001100,L000550,Jeffrey Chiesa,Mary Landrieu,0.8333333333333334
D000607,H001042,Joe Donnelly,Mazie Hirono,0.88
F000444,L000261,Jeff Flake,Carl Levin,0.44
F000444,M001183,Jeff Flake,Joe Manchin,0.5833333333333334
G000386,M001183,Charles Grassley,Joe Manchin,0.48
G000386,M000934,Charles Grassley,Jerry Moran,0.8181818181818182
M001111,T000250,Patty Murray,John Thune,0.5652173913043478
K000383,U000038,Angus King,Mark Udall,0.9565217391304348
A000368,S000033,Kelly Ayotte,Bernard Sanders,0.64
M001169,T000461,Christopher Murphy,Patrick Toomey,0.4
C001099,M001183,William Cowan,Joe Manchin,0.8333333333333334
K000148,U000039,John Kerry,Tom Udall,0.6666666666666666
C000286,M001169,Saxby Chambliss,Christopher Murphy,0.6666666666666666
A000360,A000368,Lamar Alexander,Kelly Ayotte,0.5416666666666666
B001135,C000141,Richard Burr,Benjamin Cardin,0.5769230769230769
H000338,U000038,Orrin Hatch,Mark Udall,0.6
D000563,W000779,Richard Durbin,Ron Wyden,0.8461538461538461
B001277,R000361,Richard Blumenthal,John Rockefeller,0.9230769230769231
A000360,B001277,Lamar Alexander,Richard Blumenthal,0.625
B001230,B001135,Tammy Baldwin,Richard Burr,0.52
M001183,P000449,Joe Manchin,Rob Portman,0.72
H001061,W000802,John Hoeven,Sheldon Whitehouse,0.7307692307692307
G000359,W000817,Lindsey Graham,Elizabeth Warren,0.6
B001135,C000880,Richard Burr,Michael Crapo,0.6538461538461539
B000944,C001056,Sherrod Brown,John Cornyn,0.375
M000934,V000127,Jerry Moran,David Vitter,0.7727272727272727
M001111,W000779,Patty Murray,Ron Wyden,0.8260869565217391
H001069,W000817,Heidi Heitkamp,Elizabeth Warren,0.8333333333333334
G000359,J000291,Lindsey Graham,Mike Johanns,0.7916666666666666
B001267,W000805,Michael Bennet,Mark Warner,0.84
B001135,T000464,Richard Burr,Jon Tester,0.6538461538461539
L000261,S000148,Carl Levin,Charles Schumer,0.9615384615384616
B001288,W000779,Cory Booker,Ron Wyden,0.7857142857142857
H001046,S001184,Martin Heinrich,Tim Scott,0.36
B001267,T000464,Michael Bennet,Jon Tester,0.8076923076923077
A000360,H000206,Lamar Alexander,Tom Harkin,0.6086956521739131
P000449,R000146,Rob Portman,Harry Reid,0.5769230769230769
B001277,C000141,Richard Blumenthal,Benjamin Cardin,0.9615384615384616
C000174,M001170,Thomas Carper,Claire McCaskill,0.8181818181818182
L000577,P000603,Mike Lee,Rand Paul,0.8260869565217391
C000174,I000055,Thomas Carper,Johnny Isakson,0.6153846153846154
B000243,V000127,Max Baucus,David Vitter,0.6
M001169,U000039,Christopher Murphy,Tom Udall,0.96
C000286,K000148,Saxby Chambliss,John Kerry,0.3333333333333333
B001135,R000361,Richard Burr,John Rockefeller,0.6153846153846154
C000127,R000307,Maria Cantwell,Pat Roberts,0.36
S000320,S000770,Richard Shelby,Debbie Stabenow,0.5
F000062,K000367,Dianne Feinstein,Amy Klobuchar,0.9230769230769231
H001041,R000595,Dean Heller,Marco Rubio,0.5416666666666666
L000123,M001153,Frank Lautenberg,Lisa Murkowski,0.75
C000141,H000206,Benjamin Cardin,Tom Harkin,0.88
C000567,W000805,Thad Cochran,Mark Warner,0.7727272727272727
F000062,P000590,Dianne Feinstein,Mark Pryor,0.9230769230769231
B000243,R000595,Max Baucus,Marco Rubio,0.2857142857142857
H001069,R000595,Heidi Heitkamp,Marco Rubio,0.43478260869565216
H001046,M000133,Martin Heinrich,Edward Markey,0.8823529411764706
H001042,N000032,Mazie Hirono,Bill Nelson,0.92
C000174,S001181,Thomas Carper,Jeanne Shaheen,0.7307692307692307
B000711,C001035,Barbara Boxer,Susan Collins,0.875
H000338,M001183,Orrin Hatch,Joe Manchin,0.64
B001230,H000206,Tammy Baldwin,Tom Harkin,0.875
B001277,H000206,Richard Blumenthal,Tom Harkin,0.88
J000293,R000146,Ron Johnson,Harry Reid,0.2692307692307692
