member_a_id,member_b_id,member_a_name,member_b_name,metric
C001075,C001071,Bill Cassidy,Bob Corker,0.78125
I000024,K000383,James Inhofe,Angus King,0.8
C001075,V000127,Bill Cassidy,David Vitter,0.9285714285714286
C001071,V000127,Bob Corker,David Vitter,0.7241379310344828
C000542,G000562,Daniel Coats,Cory Gardner,0.9375
G000386,T000461,Charles Grassley,Patrick Toomey,0.8181818181818182
B000711,M001170,Barbara Boxer,Claire McCaskill,0.8461538461538461
C000880,C001098,Michael Crapo,Ted Cruz,0.72
B000711,M000303,Barbara Boxer,John McCain,0.7142857142857143
L000575,S001194,James Lankford,Brian Schatz,0.7058823529411765
C001095,W000817,Tom Cotton,Elizabeth Warren,0.5714285714285714
A000360,T000476,Lamar Alexander,Thom Tillis,0.9117647058823529
I000055,S001194,Johnny Isakson,Brian Schatz,0.8235294117647058
H001042,M001153,Mazie Hirono,Lisa Murkowski,0.84375
F000444,M000355,Jeff Flake,Mitch McConnell,0.7428571428571429
C001047,R000605,Shelley Capito,Mike Rounds,0.9705882352941176
C001056,M000639,John Cornyn,Robert Menendez,0.7352941176470589
D000563,H000338,Richard Durbin,Orrin Hatch,0.8235294117647058
G000386,R000595,Charles Grassley,Marco Rubio,0.7096774193548387
M000303,M001170,John McCain,Claire McCaskill,0.8787878787878788
K000384,M000303,Tim Kaine,John McCain,0.84375
A000368,B000575,Kelly Ayotte,Roy Blunt,0.8787878787878788
B001267,C001088,Michael Bennet,Christopher Coons,0.9117647058823529
B001288,B000711,Cory Booker,Barbara Boxer,0.7857142857142857
C001047,C001070,Shelley Capito,Bob Casey,0.8823529411764706
R000122,T000464,Jack Reed,Jon Tester,0.8571428571428571
C000542,U000039,Daniel Coats,Tom Udall,0.7714285714285715
V000127,W000817,David Vitter,Elizabeth Warren,0.6666666666666666
G000562,U000039,Cory Gardner,Tom Udall,0.78125
K000383,P000449,Angus King,Rob Portman,0.8285714285714286
B001277,W000805,Richard Blumenthal,Mark Warner,0.9117647058823529
R000584,T000461,Jim Risch,Patrick Toomey,0.7272727272727273
H001046,H001041,Martin Heinrich,Dean Heller,0.7352941176470589
M000934,R000584,Jerry Moran,Jim Risch,0.7878787878787878
J000293,M000702,Ron Johnson,Barbara Mikulski,0.8181818181818182
C001035,S001184,Susan Collins,Tim Scott,0.696969696969697
M001111,P000449,Patty Murray,Rob Portman,0.8571428571428571
C001070,R000605,Bob Casey,Mike Rounds,0.8857142857142857
K000383,M001111,Angus King,Patty Murray,0.9428571428571428
C000880,G000555,Michael Crapo,Kirsten Gillibrand,0.7058823529411765
B000944,S001181,Sherrod Brown,Jeanne Shaheen,0.8571428571428571
C001098,M000934,Ted Cruz,Jerry Moran,0.6521739130434783
C001098,G000555,Ted Cruz,Kirsten Gillibrand,0.6
K000384,S001197,Tim Kaine,Ben Sasse,0.5625
C001047,C000174,Shelley Capito,Thomas Carper,0.9032258064516129
B001236,S000320,John Boozman,Richard Shelby,0.8
B001236,C001070,John Boozman,Bob Casey,0.8285714285714286
C001035,M001170,Susan Collins,Claire McCaskill,0.9090909090909091
C001088,R000307,Christopher Coons,Pat Roberts,0.8235294117647058
B000575,S000148,Roy Blunt,Charles Schumer,0.7428571428571429
B000711,C001035,Barbara Boxer,Susan Collins,0.8214285714285714
E000295,H001042,Joni Ernst,Mazie Hirono,0.8
B001236,E000285,John Boozman,Michael Enzi,0.8823529411764706
C001070,W000779,Bob Casey,Ron Wyden,0.8
M001111,T000464,Patty Murray,Jon Tester,0.8857142857142857
B000711,S001184,Barbara Boxer,Tim Scott,0.6153846153846154
C001035,L000577,Susan Collins,Mike Lee,0.46875
C000174,C001070,Thomas Carper,Bob Casey,0.9375
B001135,W000817,Richard Burr,Elizabeth Warren,0.6285714285714286
M001170,S001184,Claire McCaskill,Tim Scott,0.75
B001135,C001095,Richard Burr,Tom Cotton,0.8571428571428571
F000444,W000437,Jeff Flake,Roger Wicker,0.7142857142857143
P000603,P000449,Rand Paul,Rob Portman,0.696969696969697
M000303,S001184,John McCain,Tim Scott,0.7272727272727273
F000463,H001046,Deb Fischer,Martin Heinrich,0.7714285714285715
D000563,F000457,Richard Durbin,Al Franken,0.9117647058823529
A000368,S000148,Kelly Ayotte,Charles Schumer,0.8181818181818182
B001267,R000307,Michael Bennet,Pat Roberts,0.8857142857142857
P000449,R000122,Rob Portman,Jack Reed,0.7714285714285715
H001069,S000770,Heidi Heitkamp,Debbie Stabenow,0.9117647058823529
C001047,W000779,Shelley Capito,Ron Wyden,0.7647058823529411
H000338,S000148,Orrin Hatch,Charles Schumer,0.8
M000355,M001169,Mitch McConnell,Christopher Murphy,0.8
M000133,W000802,Edward Markey,Sheldon Whitehouse,0.8857142857142857
M000355,W000437,Mitch McConnell,Roger Wicker,0.9428571428571428
H001042,S000770,Mazie Hirono,Debbie Stabenow,0.9117647058823529
M001170,W000779,Claire McCaskill,Ron Wyden,0.8181818181818182
R000307,R000595,Pat Roberts,Marco Rubio,0.7419354838709677
B001288,E000285,Cory Booker,Michael Enzi,0.7272727272727273
A000360,S001181,Lamar Alexander,Jeanne Shaheen,0.8823529411764706
