member_a_id,member_b_id,member_a_name,member_b_name,metric
H000206,H001016,Tom Harkin,Kay Hutchison,0.625
B000468,H001028,Jeff Bingaman,Chuck Hagel,0.7021276595744681
D000432,S000888,Byron Dorgan,Ted Stevens,0.7083333333333334
B000611,S000770,Christopher Bond,Debbie Stabenow,0.7708333333333334
S000148,S000320,Charles Schumer,Richard Shelby,0.7446808510638298
B000711,M000303,Barbara Boxer,John McCain,0.5434782608695652
R000361,T000250,John Rockefeller,John Thune,0.7857142857142857
E000285,S000320,Michael Enzi,Richard Shelby,0.9347826086956522
D000601,S000709,Elizabeth Dole,Arlen Specter,0.8297872340425532
S001141,V000127,Jeff Sessions,David Vitter,0.9130434782608695
K000305,P000590,Herb Kohl,Mark Pryor,0.7959183673469388
D000294,R000146,Michael DeWine,Harry Reid,0.7551020408163265
M001162,S000709,Mel Martinez,Arlen Specter,0.8666666666666667
C001056,M000639,John Cornyn,Robert Menendez,0.6086956521739131
C000705,D000595,Kent Conrad,Jim DeMint,0.6458333333333334
D000388,W000154,Christopher Dodd,John Warner,0.7083333333333334
D000601,O000167,Elizabeth Dole,Barack Obama,0.6530612244897959
D000432,L000550,Byron Dorgan,Mary Landrieu,0.75
C000705,L000174,Kent Conrad,Patrick Leahy,0.8297872340425532
D000407,N000180,Pete Domenici,Ben Nelson,0.9361702127659575
L000304,S000064,Joseph Lieberman,Paul Sarbanes,0.8536585365853658
L000261,R000307,Carl Levin,Pat Roberts,0.6458333333333334
N000180,R000146,Ben Nelson,Harry Reid,0.7346938775510204
S001163,T000250,Ken Salazar,John Thune,0.8936170212765957
I000055,J000177,Johnny Isakson,Tim Johnson,0.7755102040816326
P000590,S001142,Mark Pryor,Gordon Smith,0.9166666666666666
B000243,C001040,Max Baucus,Lincoln Chafee,0.813953488372093
O000167,S001078,Barack Obama,John Sununu,0.5777777777777777
A000069,N000180,Daniel Akaka,Ben Nelson,0.6382978723404256
B001210,S000148,Robert Byrd,Charles Schumer,0.7446808510638298
