member_a,member_b,votes_same,bills_same,mutual_sponsorships
A000069,U000039,Daniel Akaka,Tom Udall,38,38,2
A000069,V000127,Daniel Akaka,David Vitter,20,38,1
A000069,V000126,Daniel Akaka,George Voinovich,33,40,0
A000069,W000805,Daniel Akaka,Mark Warner,38,39,2
A000069,W000803,Daniel Akaka,Jim Webb,40,40,2
A000069,W000802,Daniel Akaka,Sheldon Whitehouse,40,40,1
A000069,W000437,Daniel Akaka,Roger Wicker,23,39,1
A000069,W000779,Daniel Akaka,Ron Wyden,39,40,2
A000360,B001261,Lamar Alexander,John Barrasso,24,40,0
A000360,B000243,Lamar Alexander,Max Baucus,27,39,0
A000360,B001233,Lamar Alexander,Evan Bayh,23,39,0
A000360,B001265,Lamar Alexander,Mark Begich,26,39,1
A000360,B001267,Lamar Alexander,Michael Bennet,25,39,1
A000360,B000382,Lamar Alexander,Robert Bennett,34,38,1
A000360,B000444,Lamar Alexander,Joseph Biden,0,0,0
A000360,B000468,Lamar Alexander,Jeff Bingaman,27,40,1
A000360,B000611,Lamar Alexander,Christopher Bond,32,36,1
A000360,B000711,Lamar Alexander,Barbara Boxer,27,40,1
A000360,B000944,Lamar Alexander,Sherrod Brown,26,39,0
A000360,B001268,Lamar Alexander,Scott Brown,7,10,0
A000360,B000953,Lamar Alexander,Sam Brownback,29,38,1
A000360,B001066,Lamar Alexander,Jim Bunning,21,37,0
A000360,B001135,Lamar Alexander,Richard Burr,25,40,1
A000360,B001266,Lamar Alexander,Roland Burris,24,37,2
A000360,B001210,Lamar Alexander,Robert Byrd,13,19,0
A000360,C000127,Lamar Alexander,Maria Cantwell,28,40,0
A000360,C000141,Lamar Alexander,Benjamin Cardin,27,40,1
A000360,C000174,Lamar Alexander,Thomas Carper,26,39,0
A000360,C001070,Lamar Alexander,Bob Casey,27,40,2
A000360,C000286,Lamar Alexander,Saxby Chambliss,24,39,1
A000360,C001041,Lamar Alexander,Hillary Clinton,1,1,0
A000360,C000560,Lamar Alexander,Tom Coburn,17,40,0
A000360,C000567,Lamar Alexander,Thad Cochran,34,40,1
A000360,C001035,Lamar Alexander,Susan Collins,31,40,0
A000360,C000705,Lamar Alexander,Kent Conrad,26,40,1
A000360,C001088,Lamar Alexander,Christopher Coons,1,1,0
A000360,C001071,Lamar Alexander,Bob Corker,28,40,0
A000360,C001056,Lamar Alexander,John Cornyn,25,40,0
A000360,C000880,Lamar Alexander,Michael Crapo,28,40,0
A000360,D000595,Lamar Alexander,Jim DeMint,17,39,0
A000360,D000388,Lamar Alexander,Christopher Dodd,26,39,2
A000360,D000432,Lamar Alexander,Byron Dorgan,26,39,1
A000360,D000563,Lamar Alexander,Richard Durbin,27,40,2
A000360,E000194,Lamar Alexander,John Ensign,23,39,1
A000360,E000285,Lamar Alexander,Michael Enzi,26,40,2
A000360,F000061,Lamar Alexander,Russ Feingold,23,40,0
A000360,F000062,Lamar Alexander,Dianne Feinstein,26,39,0
A000360,F000457,Lamar Alexander,Al Franken,18,26,0
