member_a_id,member_b_id,member_a_name,member_b_name,metric
L000577,M000639,Mike Lee,Robert Menendez,0.0
B001277,D000618,Richard Blumenthal,Steve Daines,3.0
B001277,M001170,Richard Blumenthal,Claire McCaskill,2.0
C000141,C000174,Benjamin Cardin,Thomas Carper,0.0
B001267,H001069,Michael Bennet,Heidi Heitkamp,0.0
K000367,M001111,Amy Klobuchar,Patty Murray,3.0
C000174,C000880,Thomas Carper,Michael Crapo,1.0
C001075,S001181,Bill Cassidy,Jeanne Shaheen,1.0
D000563,R000122,Richard Durbin,Jack Reed,0.0
C000174,C001075,Thomas Carper,Bill Cassidy,1.0
M000133,R000307,Edward Markey,Pat Roberts,1.0
R000122,W000779,Jack Reed,Ron Wyden,0.0
C001088,P000449,Christopher Coons,Rob Portman,3.0
B001230,C000174,Tammy Baldwin,Thomas Carper,1.0
H001042,M001183,Mazie Hirono,Joe Manchin,2.0
W000805,W000437,Mark Warner,Roger Wicker,3.0
C000542,L000577,Daniel Coats,Mike Lee,1.0
E000285,F000062,Michael Enzi,Dianne Feinstein,1.0
V000127,W000802,David Vitter,Sheldon Whitehouse,2.0
M000934,P000612,Jerry Moran,David Perdue,2.0
K000367,M001169,Amy Klobuchar,Christopher Murphy,1.0
C000141,W000437,Benjamin Cardin,Roger Wicker,0.0
B000575,M000934,Roy Blunt,Jerry Moran,2.0
C000174,T000464,Thomas Carper,Jon Tester,0.0
R000307,S001141,Pat Roberts,Jeff Sessions,2.0
B001277,S001181,Richard Blumenthal,Jeanne Shaheen,2.0
C000542,S000770,Daniel Coats,Debbie Stabenow,2.0
H001042,L000174,Mazie Hirono,Patrick Leahy,2.0
F000444,R000605,Jeff Flake,Mike Rounds,1.0
J000293,S000148,Ron Johnson,Charles Schumer,1.0
H001046,K000360,Martin Heinrich,Mark Kirk,1.0
P000612,V000127,David Perdue,David Vitter,3.0
G000386,W000802,Charles Grassley,Sheldon Whitehouse,3.0
C000127,H001041,Maria Cantwell,Dean Heller,0.0
C001070,C001056,Bob Casey,John Cornyn,2.0
T000464,W000817,Jon Tester,Elizabeth Warren,2.0
B001135,C000174,Richard Burr,Thomas Carper,1.0
B000575,C001047,Roy Blunt,Shelley Capito,5.0
