member_a_id,member_b_id,member_a_name,member_b_name,metric
M000355,S001202,Mitch McConnell,Luther Strange,0.8571428571428571
N000032,R000307,Bill Nelson,Pat Roberts,0.8888888888888888
P000603,S000320,Rand Paul,Richard Shelby,0.3888888888888889
C001095,S001194,Tom Cotton,Brian Schatz,0.7647058823529411
H001079,T000464,Cindy Hyde-Smith,Jon Tester,0.875
L000174,S001197,Patrick Leahy,Ben Sasse,0.6470588235294118
D000622,M000934,Tammy Duckworth,Jerry Moran,0.8
D000607,N000032,Joe Donnelly,Bill Nelson,0.9444444444444444
D000618,I000055,Steve Daines,Johnny Isakson,0.9333333333333333
D000622,G000386,Tammy Duckworth,Charles Grassley,0.75
H001076,S000033,Margaret Hassan,Bernard Sanders,0.5
G000386,M000934,Charles Grassley,Jerry Moran,0.9411764705882353
D000618,M001170,Steve Daines,Claire McCaskill,0.8888888888888888
L000577,S000770,Mike Lee,Debbie Stabenow,0.4444444444444444
B001230,H001079,Tammy Baldwin,Cindy Hyde-Smith,0.875
C001098,F000463,Ted Cruz,Deb Fischer,0.8823529411764706
H000338,J000293,Orrin Hatch,Ron Johnson,0.8333333333333334
H001046,K000393,Martin Heinrich,John Kennedy,0.8823529411764706
D000622,P000603,Tammy Duckworth,Rand Paul,0.25
F000457,S000033,Al Franken,Bernard Sanders,0.3333333333333333
G000359,H001069,Lindsey Graham,Heidi Heitkamp,0.875
C000880,T000464,Michael Crapo,Jon Tester,0.7777777777777778
C000880,M001111,Michael Crapo,Patty Murray,0.7058823529411765
C000880,H001079,Michael Crapo,Cindy Hyde-Smith,0.75
I000055,S001181,Johnny Isakson,Jeanne Shaheen,0.8571428571428571
R000584,T000250,Jim Risch,John Thune,0.8888888888888888
C000141,T000464,Benjamin Cardin,Jon Tester,0.7777777777777778
B001267,P000612,Michael Bennet,David Perdue,0.8888888888888888
C000567,H001075,Thad Cochran,Kamala Harris,0.7272727272727273
M001169,M001111,Christopher Murphy,Patty Murray,0.9411764705882353
C000141,H001079,Benjamin Cardin,Cindy Hyde-Smith,0.875
D000618,S001181,Steve Daines,Jeanne Shaheen,0.8823529411764706
B000944,B001135,Sherrod Brown,Richard Burr,0.7647058823529411
F000463,R000584,Deb Fischer,Jim Risch,0.9411764705882353
H001042,R000307,Mazie Hirono,Pat Roberts,0.8235294117647058
C000567,T000250,Thad Cochran,John Thune,0.9090909090909091
B000575,S000033,Roy Blunt,Bernard Sanders,0.4444444444444444
J000300,N000032,Doug Jones,Bill Nelson,0.9
B001230,C000141,Tammy Baldwin,Benjamin Cardin,0.8333333333333334
G000562,K000352,Cory Gardner,Jon Kyl,0.6666666666666666
B001267,M000355,Michael Bennet,Mitch McConnell,0.8888888888888888
C001035,H001061,Susan Collins,John Hoeven,0.8823529411764706
B001236,H001042,John Boozman,Mazie Hirono,0.8125
C001098,R000584,Ted Cruz,Jim Risch,0.8823529411764706
C001088,T000476,Christopher Coons,Thom Tillis,0.8888888888888888
F000463,T000464,Deb Fischer,Jon Tester,0.8235294117647058
M001111,W000437,Patty Murray,Roger Wicker,0.7058823529411765
