member_a_id,member_b_id,member_a_name,member_b_name,votes_same,bills_same,mutual_sponsorships
P000595,T000476,Gary Peters,Thom Tillis,16,17,2
H001061,W000805,John Hoeven,Mark Warner,15,16,1
C000141,C000880,Benjamin Cardin,Michael Crapo,13,17,1
M001176,P000449,Jeff Merkley,Rob Portman,12,17,0
J000293,T000464,Ron Johnson,Jon Tester,13,17,0
H001076,M000303,Margaret Hassan,John McCain,6,7,0
C000141,T000250,Benjamin Cardin,John Thune,14,17,0
N000032,Y000064,Bill Nelson,Todd Young,16,17,1
W000805,Y000064,Mark Warner,Todd Young,16,17,1
B000944,T000476,Sherrod Brown,Thom Tillis,15,17,0
N000032,W000817,Bill Nelson,Elizabeth Warren,13,17,0
B001135,C001047,Richard Burr,Shelley Capito,15,16,1
J000300,W000805,Doug Jones,Mark Warner,9,9,1
D000622,L000575,Tammy Duckworth,James Lankford,11,15,0
B001135,S001197,Richard Burr,Ben Sasse,14,16,1
M000303,P000603,John McCain,Rand Paul,4,7,0
H001069,S001198,Heidi Heitkamp,Dan Sullivan,15,16,1
M001153,T000461,Lisa Murkowski,Patrick Toomey,13,16,1
R000307,W000802,Pat Roberts,Sheldon Whitehouse,15,17,0
C000141,F000457,Benjamin Cardin,Al Franken,7,8,0
C000174,P000449,Thomas Carper,Rob Portman,16,17,0
C000567,M001153,Thad Cochran,Lisa Murkowski,9,10,0
B001277,R000122,Richard Blumenthal,Jack Reed,15,17,0
H001075,P000612,Kamala Harris,David Perdue,14,17,1
H000338,I000024,Orrin Hatch,James Inhofe,15,16,1
M001169,W000437,Christopher Murphy,Roger Wicker,13,17,0
C001047,S000770,Shelley Capito,Debbie Stabenow,16,17,2
G000562,U000039,Cory Gardner,Tom Udall,14,17,0
R000605,S000148,Mike Rounds,Charles Schumer,15,17,1
M000303,S001194,John McCain,Brian Schatz,6,7,0
H001041,M000934,Dean Heller,Jerry Moran,15,16,2
C001075,M001176,Bill Cassidy,Jeff Merkley,12,16,0
K000367,R000584,Amy Klobuchar,Jim Risch,13,16,1
C001035,I000055,Susan Collins,Johnny Isakson,14,14,0
B001267,K000367,Michael Bennet,Amy Klobuchar,15,16,1
B001261,U000039,John Barrasso,Tom Udall,14,17,1
D000607,W000802,Joe Donnelly,Sheldon Whitehouse,16,17,0
B001236,M000639,John Boozman,Robert Menendez,12,15,2
M000355,W000779,Mitch McConnell,Ron Wyden,10,17,0
C000174,C001075,Thomas Carper,Bill Cassidy,15,16,0
G000562,S001194,Cory Gardner,Brian Schatz,14,16,0
B001230,K000383,Tammy Baldwin,Angus King,15,17,1
J000300,R000584,Doug Jones,Jim Risch,8,9,1
K000384,W000779,Tim Kaine,Ron Wyden,11,17,1
A000360,D000622,Lamar Alexander,Tammy Duckworth,11,13,0
B001230,K000367,Tammy Baldwin,Amy Klobuchar,15,16,1
F000062,P000595,Dianne Feinstein,Gary Peters,15,17,0
C001098,K000367,Ted Cruz,Amy Klobuchar,12,15,1
G000562,S001141,Cory Gardner,Jeff Sessions,1,1,0
F000062,H001076,Dianne Feinstein,Margaret Hassan,15,17,1
K000384,P000595,Tim Kaine,Gary Peters,17,17,2
M001183,S001184,Joe Manchin,Tim Scott,15,17,2
B001236,W000779,John Boozman,Ron Wyden,10,16,1
I000055,S001194,Johnny Isakson,Brian Schatz,11,13,0
B001288,F000444,Cory Booker,Jeff Flake,10,15,1
E000295,R000595,Joni Ernst,Marco Rubio,16,16,1
E000295,H001079,Joni Ernst,Cindy Hyde-Smith,7,7,0
B001277,D000622,Richard Blumenthal,Tammy Duckworth,14,15,0
C000174,N000032,Thomas Carper,Bill Nelson,17,17,0
A000360,H001079,Lamar Alexander,Cindy Hyde-Smith,6,6,0
B001277,R000595,Richard Blumenthal,Marco Rubio,12,16,1
M001153,W000779,Lisa Murkowski,Ron Wyden,11,17,1
P000449,W000817,Rob Portman,Elizabeth Warren,12,17,0
B001288,E000295,Cory Booker,Joni Ernst,13,16,1
F000463,M000355,Deb Fischer,Mitch McConnell,16,16,0
C000174,D000607,Thomas Carper,Joe Donnelly,17,17,1
C001075,W000802,Bill Cassidy,Sheldon Whitehouse,14,16,0
J000300,P000449,Doug Jones,Rob Portman,9,9,0
F000463,M000303,Deb Fischer,John McCain,7,7,1
C001088,S001197,Christopher Coons,Ben Sasse,15,17,2
H001075,M000639,Kamala Harris,Robert Menendez,14,16,1
I000055,K000383,Johnny Isakson,Angus King,13,14,0
D000607,M001176,Joe Donnelly,Jeff Merkley,13,17,0
C001095,M000639,Tom Cotton,Robert Menendez,12,16,1
H001076,R000605,Margaret Hassan,Mike Rounds,16,17,0
S000320,S001203,Richard Shelby,Tina Smith,8,9,0
B001277,H001046,Richard Blumenthal,Martin Heinrich,14,16,1
D000622,S000148,Tammy Duckworth,Charles Schumer,14,15,0
H001041,M001176,Dean Heller,Jeff Merkley,11,17,0
H001076,I000055,Margaret Hassan,Johnny Isakson,13,14,0
G000386,S001194,Charles Grassley,Brian Schatz,14,16,0
P000612,S000320,David Perdue,Richard Shelby,17,17,0
B001277,P000603,Richard Blumenthal,Rand Paul,3,17,0
E000285,Y000064,Michael Enzi,Todd Young,17,17,0
F000463,W000779,Deb Fischer,Ron Wyden,9,16,1
C001070,M000355,Bob Casey,Mitch McConnell,15,17,0
C001095,W000779,Tom Cotton,Ron Wyden,9,17,1
H001061,M000303,John Hoeven,John McCain,7,7,1
E000285,J000300,Michael Enzi,Doug Jones,9,9,0
C000141,M000133,Benjamin Cardin,Edward Markey,13,17,0
D000618,K000367,Steve Daines,Amy Klobuchar,14,16,1
H001061,S001202,John Hoeven,Luther Strange,5,5,1
M000934,M001111,Jerry Moran,Patty Murray,12,15,0
L000174,P000603,Patrick Leahy,Rand Paul,5,16,0
R000122,S000148,Jack Reed,Charles Schumer,17,17,0
M001111,Y000064,Patty Murray,Todd Young,12,16,0
H001079,L000174,Cindy Hyde-Smith,Patrick Leahy,6,6,0
