member_a_id,member_b_id,member_a_name,member_b_name,metric
A000109,B001233,Wayne Allard,Evan Bayh,0.0
C000174,S001163,Thomas Carper,Ken Salazar,1.0
B000444,S000148,Joseph Biden,Charles Schumer,2.0
L000123,S000888,Frank Lautenberg,Ted Stevens,3.0
B000382,L000550,Robert Bennett,Mary Landrieu,1.0
H000206,S000320,Tom Harkin,Richard Shelby,0.0
C001070,C000560,Bob Casey,Tom Coburn,0.0
C000127,S000709,Maria Cantwell,Arlen Specter,2.0
D000563,W000779,Richard Durbin,Ron Wyden,1.0
G000359,L000504,Lindsey Graham,Richard Lugar,0.0
G000386,J000177,Charles Grassley,Tim Johnson,0.0
C001070,C001057,Bob Casey,Norm Coleman,0.0
L000123,M000355,Frank Lautenberg,Mitch McConnell,2.0
A000069,B001261,Daniel Akaka,John Barrasso,0.0
H001016,M001111,Kay Hutchison,Patty Murray,1.0
D000388,V000127,Christopher Dodd,David Vitter,1.0
L000261,L000304,Carl Levin,Joseph Lieberman,3.0
C000880,T000464,Michael Crapo,Jon Tester,0.0
C000560,C001057,Tom Coburn,Norm Coleman,1.0
C000705,S000033,Kent Conrad,Bernard Sanders,0.0
K000305,M001170,Herb Kohl,Claire McCaskill,3.0
C000141,T000464,Benjamin Cardin,Jon Tester,1.0
D000595,T000162,Jim DeMint,Craig Thomas,0.0
C001070,J000177,Bob Casey,Tim Johnson,0.0
C001071,S000663,Bob Corker,Olympia Snowe,1.0
C000560,J000177,Tom Coburn,Tim Johnson,0.0
R000146,W000803,Harry Reid,Jim Webb,3.0
L000261,S000888,Carl Levin,Ted Stevens,4.0
B001233,K000305,Evan Bayh,Herb Kohl,1.0
B001210,C001056,Robert Byrd,John Cornyn,1.0
B000944,R000122,Sherrod Brown,Jack Reed,2.0
B001066,I000024,Jim Bunning,James Inhofe,0.0
C001057,J000177,Norm Coleman,Tim Johnson,1.0
E000194,M000639,John Ensign,Robert Menendez,1.0
N000180,S000770,Ben Nelson,Debbie Stabenow,3.0
C000705,H000206,Kent Conrad,Tom Harkin,0.0
C000141,C000880,Benjamin Cardin,Michael Crapo,0.0
L000304,S000888,Joseph Lieberman,Ted Stevens,3.0
L000123,L000304,Frank Lautenberg,Joseph Lieberman,5.0
A000360,R000361,Lamar Alexander,John Rockefeller,1.0
B000711,E000285,Barbara Boxer,Michael Enzi,1.0
C000858,N000032,Larry Craig,Bill Nelson,1.0
S000320,S001078,Richard Shelby,John Sununu,0.0
A000360,C000705,Lamar Alexander,Kent Conrad,0.0
S000033,T000250,Bernard Sanders,John Thune,0.0
L000550,S001078,Mary Landrieu,John Sununu,0.0
D000407,M000702,Pete Domenici,Barbara Mikulski,1.0
K000367,L000035,Amy Klobuchar,Blanche Lincoln,2.0
H001028,W000437,Chuck Hagel,Roger Wicker,0.0
D000563,T000464,Richard Durbin,Jon Tester,2.0
B000382,S001078,Robert Bennett,John Sununu,0.0
B001066,C001056,Jim Bunning,John Cornyn,1.0
E000194,S000320,John Ensign,Richard Shelby,0.0
K000352,S001141,Jon Kyl,Jeff Sessions,0.0
I000025,S000663,Daniel Inouye,Olympia Snowe,3.0
R000146,V000126,Harry Reid,George Voinovich,1.0
B000468,I000025,Jeff Bingaman,Daniel Inouye,3.0
C000880,S000033,Michael Crapo,Bernard Sanders,0.0
B001135,C001041,Richard Burr,Hillary Clinton,1.0
L000123,S000148,Frank Lautenberg,Charles Schumer,5.0
L000261,M001153,Carl Levin,Lisa Murkowski,2.0
B001066,B001210,Jim Bunning,Robert Byrd,1.0
L000304,S000148,Joseph Lieberman,Charles Schumer,5.0
A000360,D000601,Lamar Alexander,Elizabeth Dole,0.0
C000286,H001016,Saxby Chambliss,Kay Hutchison,1.0
L000261,M001162,Carl Levin,Mel Martinez,1.0
G000359,S000709,Lindsey Graham,Arlen Specter,0.0
D000407,O000167,Pete Domenici,Barack Obama,2.0
C000286,L000304,Saxby Chambliss,Joseph Lieberman,1.0
D000388,G000386,Christopher Dodd,Charles Grassley,0.0
D000595,E000194,Jim DeMint,John Ensign,0.0
D000432,D000563,Byron Dorgan,Richard Durbin,3.0
B001135,C000880,Richard Burr,Michael Crapo,0.0
D000601,S000320,Elizabeth Dole,Richard Shelby,0.0
B001135,T000464,Richard Burr,Jon Tester,1.0
C000286,M001111,Saxby Chambliss,Patty Murray,1.0
C000705,R000361,Kent Conrad,John Rockefeller,1.0
V000126,W000803,George Voinovich,Jim Webb,0.0
C001056,I000024,John Cornyn,James Inhofe,0.0
A000360,H000206,Lamar Alexander,Tom Harkin,1.0
C000567,K000305,Thad Cochran,Herb Kohl,2.0
C001071,I000025,Bob Corker,Daniel Inouye,1.0
B001210,T000250,Robert Byrd,John Thune,0.0
C000174,M001170,Thomas Carper,Claire McCaskill,2.0
D000601,T000162,Elizabeth Dole,Craig Thomas,0.0
C000174,I000055,Thomas Carper,Johnny Isakson,1.0
B000243,V000127,Max Baucus,David Vitter,0.0
C000705,T000464,Kent Conrad,Jon Tester,1.0
M000355,S000663,Mitch McConnell,Olympia Snowe,1.0
G000445,L000123,Judd Gregg,Frank Lautenberg,0.0
C000286,K000148,Saxby Chambliss,John Kerry,1.0
B001135,R000361,Richard Burr,John Rockefeller,1.0
B000444,F000061,Joseph Biden,Russ Feingold,0.0
C000127,N000032,Maria Cantwell,Bill Nelson,2.0
S000320,S000770,Richard Shelby,Debbie Stabenow,0.0
B001261,O000167,John Barrasso,Barack Obama,0.0
D000595,T000250,Jim DeMint,John Thune,0.0
H001028,S001142,Chuck Hagel,Gordon Smith,1.0
H000338,W000803,Orrin Hatch,Jim Webb,1.0
M001153,W000154,Lisa Murkowski,John Warner,1.0
F000062,K000367,Dianne Feinstein,Amy Klobuchar,3.0
K000105,K000352,Edward Kennedy,Jon Kyl,0.0
B000611,B000944,Christopher Bond,Sherrod Brown,1.0
H001028,L000504,Chuck Hagel,Richard Lugar,1.0
C000141,H000206,Benjamin Cardin,Tom Harkin,2.0
C000705,C000880,Kent Conrad,Michael Crapo,0.0
D000407,K000352,Pete Domenici,Jon Kyl,0.0
C000286,T000464,Saxby Chambliss,Jon Tester,0.0
C000141,C000705,Benjamin Cardin,Kent Conrad,1.0
B000711,C001035,Barbara Boxer,Susan Collins,5.0
B000953,H001028,Sam Brownback,Chuck Hagel,0.0
B000611,R000122,Christopher Bond,Jack Reed,0.0
M000355,M001153,Mitch McConnell,Lisa Murkowski,1.0
C001071,M000355,Bob Corker,Mitch McConnell,1.0
A000360,B000611,Lamar Alexander,Christopher Bond,1.0
B000944,C000286,Sherrod Brown,Saxby Chambliss,1.0
A000360,B001135,Lamar Alexander,Richard Burr,0.0
N000180,S000320,Ben Nelson,Richard Shelby,0.0
C000858,W000437,Larry Craig,Roger Wicker,0.0
B001066,C001071,Jim Bunning,Bob Corker,1.0
L000174,L000447,Patrick Leahy,Trent Lott,2.0
H000206,T000464,Tom Harkin,Jon Tester,0.0
L000174,M000639,Patrick Leahy,Robert Menendez,4.0
A000360,T000464,Lamar Alexander,Jon Tester,0.0
K000305,W000802,Herb Kohl,Sheldon Whitehouse,0.0
C000141,H001016,Benjamin Cardin,Kay Hutchison,2.0
C001057,P000590,Norm Coleman,Mark Pryor,1.0
B001135,H000206,Richard Burr,Tom Harkin,0.0
M000639,T000250,Robert Menendez,John Thune,0.0
A000109,S001142,Wayne Allard,Gordon Smith,0.0
D000388,M000303,Christopher Dodd,John McCain,0.0
I000025,M000355,Daniel Inouye,Mitch McConnell,1.0
C001070,P000590,Bob Casey,Mark Pryor,1.0
D000601,N000180,Elizabeth Dole,Ben Nelson,0.0
C000560,P000590,Tom Coburn,Mark Pryor,0.0
G000445,N000032,Judd Gregg,Bill Nelson,0.0
C000141,R000361,Benjamin Cardin,John Rockefeller,2.0
F000062,L000035,Dianne Feinstein,Blanche Lincoln,3.0
A000360,C000141,Lamar Alexander,Benjamin Cardin,1.0
M001153,V000127,Lisa Murkowski,David Vitter,1.0
