member_a_id,member_b_id,member_a_name,member_b_name,metric
C000286,G000561,Saxby Chambliss,Carte Goodwin,0.0
C000560,G000555,Tom Coburn,Kirsten Gillibrand,0.15384615384615385
B000382,G000359,Robert Bennett,Lindsey Graham,0.6153846153846154
A000360,S001163,Lamar Alexander,Ken Salazar,0.5
B000944,D000388,Sherrod Brown,Christopher Dodd,0.9743589743589743
B000444,U000039,Joseph Biden,Tom Udall,0.0
B001265,M001183,Mark Begich,Joe Manchin,0.5
C000141,R000307,Benjamin Cardin,Pat Roberts,0.4634146341463415
D000432,G000445,Byron Dorgan,Judd Gregg,0.5384615384615384
C001070,R000146,Bob Casey,Harry Reid,0.975609756097561
B000944,F000457,Sherrod Brown,Al Franken,0.9629629629629629
K000352,T000250,Jon Kyl,John Thune,0.8048780487804879
B000953,P000590,Sam Brownback,Mark Pryor,0.5384615384615384
D000595,J000291,Jim DeMint,Mike Johanns,0.575
L000304,N000032,Joseph Lieberman,Bill Nelson,0.9743589743589743
M001153,M001111,Lisa Murkowski,Patty Murray,0.7368421052631579
C000567,H000338,Thad Cochran,Orrin Hatch,0.8
H001016,K000105,Kay Hutchison,Edward Kennedy,0.3333333333333333
K000360,N000180,Mark Kirk,Ben Nelson,0.5
B001135,V000126,Richard Burr,George Voinovich,0.5121951219512195
B000953,K000305,Sam Brownback,Herb Kohl,0.5128205128205128
C000560,G000359,Tom Coburn,Lindsey Graham,0.7560975609756098
C000141,L000261,Benjamin Cardin,Carl Levin,0.975609756097561
G000445,L000550,Judd Gregg,Mary Landrieu,0.5405405405405406
C000174,R000146,Thomas Carper,Harry Reid,0.975
C000286,C001056,Saxby Chambliss,John Cornyn,0.85
B001265,C000705,Mark Begich,Kent Conrad,0.95
S000033,V000126,Bernard Sanders,George Voinovich,0.75
B000944,H000338,Sherrod Brown,Orrin Hatch,0.5128205128205128
B000444,S001163,Joseph Biden,Ken Salazar,0.0
U000038,W000805,Mark Udall,Mark Warner,0.9230769230769231
M001170,W000803,Claire McCaskill,Jim Webb,0.8421052631578947
K000105,K000352,Edward Kennedy,Jon Kyl,0.0
B001233,M000702,Evan Bayh,Barbara Mikulski,0.8285714285714286
B001267,C000141,Michael Bennet,Benjamin Cardin,0.95
B001265,L000174,Mark Begich,Patrick Leahy,0.9487179487179487
H001016,I000024,Kay Hutchison,James Inhofe,0.6486486486486487
N000032,S000033,Bill Nelson,Bernard Sanders,0.9230769230769231
A000069,H001049,Daniel Akaka,Kay Hagan,0.95
C001041,N000032,Hillary Clinton,Bill Nelson,0.5
C000567,K000148,Thad Cochran,John Kerry,0.6585365853658537
B001265,L000572,Mark Begich,George LeMieux,0.5
R000146,W000779,Harry Reid,Ron Wyden,0.9512195121951219
H000338,M001176,Orrin Hatch,Jeff Merkley,0.525
B000468,W000779,Jeff Bingaman,Ron Wyden,0.9512195121951219
H000338,R000361,Orrin Hatch,John Rockefeller,0.4411764705882353
B001267,K000367,Michael Bennet,Amy Klobuchar,0.9487179487179487
D000595,V000126,Jim DeMint,George Voinovich,0.325
B001268,M001176,Scott Brown,Jeff Merkley,0.45454545454545453
E000194,L000174,John Ensign,Patrick Leahy,0.3076923076923077
C001088,W000437,Christopher Coons,Roger Wicker,0.0
B001268,R000361,Scott Brown,John Rockefeller,0.45454545454545453
S000148,T000464,Charles Schumer,Jon Tester,0.975609756097561
F000457,L000123,Al Franken,Frank Lautenberg,0.9615384615384616
B001135,J000291,Richard Burr,Mike Johanns,0.7560975609756098
N000032,T000464,Bill Nelson,Jon Tester,0.975
L000261,M000355,Carl Levin,Mitch McConnell,0.3902439024390244
A000360,H001049,Lamar Alexander,Kay Hagan,0.675
B000611,C001070,Christopher Bond,Bob Casey,0.7027027027027027
C001035,T000464,Susan Collins,Jon Tester,0.8780487804878049
C000705,E000194,Kent Conrad,John Ensign,0.3
C001070,S000770,Bob Casey,Debbie Stabenow,0.975609756097561
P000590,S001141,Mark Pryor,Jeff Sessions,0.35
D000388,L000123,Christopher Dodd,Frank Lautenberg,0.9736842105263158
I000025,N000180,Daniel Inouye,Ben Nelson,0.9024390243902439
N000180,W000802,Ben Nelson,Sheldon Whitehouse,0.9024390243902439
B000243,E000285,Max Baucus,Michael Enzi,0.425
B000468,C000174,Jeff Bingaman,Thomas Carper,0.975
C001071,P000590,Bob Corker,Mark Pryor,0.4878048780487805
K000305,S001141,Herb Kohl,Jeff Sessions,0.325
C001041,S000709,Hillary Clinton,Arlen Specter,0.5
M000355,V000127,Mitch McConnell,David Vitter,0.7435897435897436
B001066,G000386,Jim Bunning,Charles Grassley,0.7368421052631579
C001088,M001176,Christopher Coons,Jeff Merkley,0.5
B000611,C000174,Christopher Bond,Thomas Carper,0.6944444444444444
K000148,M001170,John Kerry,Claire McCaskill,0.8421052631578947
N000180,T000250,Ben Nelson,John Thune,0.43902439024390244
B001267,M000355,Michael Bennet,Mitch McConnell,0.375
C000174,S000770,Thomas Carper,Debbie Stabenow,0.975
B001233,B000382,Evan Bayh,Robert Bennett,0.4473684210526316
A000069,S001163,Daniel Akaka,Ken Salazar,0.5
K000367,S001141,Amy Klobuchar,Jeff Sessions,0.3333333333333333
D000388,R000361,Christopher Dodd,John Rockefeller,0.9705882352941176
N000032,U000039,Bill Nelson,Tom Udall,0.9736842105263158
P000590,R000307,Mark Pryor,Pat Roberts,0.4878048780487805
B000468,C001070,Jeff Bingaman,Bob Casey,0.975609756097561
N000032,W000805,Bill Nelson,Mark Warner,0.95
B001233,C000560,Evan Bayh,Tom Coburn,0.3
C000567,W000803,Thad Cochran,Jim Webb,0.6585365853658537
S000033,T000250,Bernard Sanders,John Thune,0.3
B001066,R000584,Jim Bunning,Jim Risch,0.8157894736842105
E000194,M001183,John Ensign,Joe Manchin,0.0
S000770,W000779,Debbie Stabenow,Ron Wyden,0.9512195121951219
B000611,W000779,Christopher Bond,Ron Wyden,0.6756756756756757
L000123,W000805,Frank Lautenberg,Mark Warner,0.9473684210526315
B001261,D000563,John Barrasso,Richard Durbin,0.36585365853658536
C000286,C000880,Saxby Chambliss,Michael Crapo,0.775
B000468,M000303,Jeff Bingaman,John McCain,0.3170731707317073
G000386,M001176,Charles Grassley,Jeff Merkley,0.5121951219512195
C000127,U000039,Maria Cantwell,Tom Udall,0.9487179487179487
B001066,C001088,Jim Bunning,Christopher Coons,0.0
B000468,B000711,Jeff Bingaman,Barbara Boxer,0.975609756097561
C000141,J000177,Benjamin Cardin,Tim Johnson,0.9487179487179487
C000705,K000367,Kent Conrad,Amy Klobuchar,0.95
I000024,M000702,James Inhofe,Barbara Mikulski,0.2571428571428571
B001265,B000953,Mark Begich,Sam Brownback,0.5
M001153,S000320,Lisa Murkowski,Richard Shelby,0.8
B001266,H000206,Roland Burris,Tom Harkin,0.9736842105263158
B000944,C001041,Sherrod Brown,Hillary Clinton,0.0
C000141,I000055,Benjamin Cardin,Johnny Isakson,0.42105263157894735
H001049,S001181,Kay Hagan,Jeanne Shaheen,0.95
F000061,W000779,Russ Feingold,Ron Wyden,0.8536585365853658
M001183,P000590,Joe Manchin,Mark Pryor,0.5
D000432,T000250,Byron Dorgan,John Thune,0.375
B000944,S000033,Sherrod Brown,Bernard Sanders,0.9230769230769231
B000611,C001035,Christopher Bond,Susan Collins,0.8108108108108109
L000035,M000639,Blanche Lincoln,Robert Menendez,0.9473684210526315
B001066,W000805,Jim Bunning,Mark Warner,0.35135135135135137
M001176,R000584,Jeff Merkley,Jim Risch,0.4634146341463415
K000367,L000572,Amy Klobuchar,George LeMieux,0.5
B001210,K000352,Robert Byrd,Jon Kyl,0.25
K000305,L000174,Herb Kohl,Patrick Leahy,0.95
L000572,P000590,George LeMieux,Mark Pryor,0.55
C000286,G000555,Saxby Chambliss,Kirsten Gillibrand,0.39473684210526316
K000105,M000702,Edward Kennedy,Barbara Mikulski,0.6666666666666666
C001041,I000025,Hillary Clinton,Daniel Inouye,0.5
K000305,L000572,Herb Kohl,George LeMieux,0.5
B000468,C001035,Jeff Bingaman,Susan Collins,0.8780487804878049
D000432,I000025,Byron Dorgan,Daniel Inouye,0.975
D000432,W000802,Byron Dorgan,Sheldon Whitehouse,0.975
K000367,M001183,Amy Klobuchar,Joe Manchin,0.5
G000386,W000437,Charles Grassley,Roger Wicker,0.75
V000127,V000126,David Vitter,George Voinovich,0.6666666666666666
C000705,K000305,Kent Conrad,Herb Kohl,0.9512195121951219
R000361,W000805,John Rockefeller,Mark Warner,0.9393939393939394
R000584,W000437,Jim Risch,Roger Wicker,0.85
H000338,L000123,Orrin Hatch,Frank Lautenberg,0.5263157894736842
B000944,L000304,Sherrod Brown,Joseph Lieberman,0.9743589743589743
M000303,S000770,John McCain,Debbie Stabenow,0.3170731707317073
C000705,P000590,Kent Conrad,Mark Pryor,0.926829268292683
I000025,L000550,Daniel Inouye,Mary Landrieu,0.9736842105263158
B000611,B000711,Christopher Bond,Barbara Boxer,0.7027027027027027
E000194,S001141,John Ensign,Jeff Sessions,0.8717948717948718
B000611,M000303,Christopher Bond,John McCain,0.5675675675675675
F000457,N000032,Al Franken,Bill Nelson,0.9615384615384616
B000711,S000770,Barbara Boxer,Debbie Stabenow,0.975609756097561
A000069,L000504,Daniel Akaka,Richard Lugar,0.7073170731707317
B000382,B001210,Robert Bennett,Robert Byrd,0.6
C000141,D000388,Benjamin Cardin,Christopher Dodd,0.975
C000174,V000127,Thomas Carper,David Vitter,0.5
F000061,M001176,Russ Feingold,Jeff Merkley,0.8292682926829268
K000105,S000320,Edward Kennedy,Richard Shelby,0.0
C000705,R000146,Kent Conrad,Harry Reid,0.9512195121951219
B000944,R000307,Sherrod Brown,Pat Roberts,0.475
B001233,M001111,Evan Bayh,Patty Murray,0.8157894736842105
G000555,L000550,Kirsten Gillibrand,Mary Landrieu,0.9722222222222222
E000194,K000148,John Ensign,John Kerry,0.275
M001183,M001170,Joe Manchin,Claire McCaskill,0.5
C000286,W000802,Saxby Chambliss,Sheldon Whitehouse,0.375
C000141,F000457,Benjamin Cardin,Al Franken,0.9629629629629629
A000360,M000639,Lamar Alexander,Robert Menendez,0.6410256410256411
C000286,I000025,Saxby Chambliss,Daniel Inouye,0.375
C000127,L000504,Maria Cantwell,Richard Lugar,0.7317073170731707
V000127,W000779,David Vitter,Ron Wyden,0.5128205128205128
B001210,C000560,Robert Byrd,Tom Coburn,0.15
C001035,D000595,Susan Collins,Jim DeMint,0.25
N000180,S000148,Ben Nelson,Charles Schumer,0.9024390243902439
