member_a,member_b,votes_same,bills_same,mutual_sponsorships
C001053,C001094,168,170,6
D000625,N000189,144,156,3
B000490,R000586,71,152,2
E000297,H001068,149,165,0
D000614,Y000065,159,164,9
B001278,P000607,140,151,0
L000565,M001181,57,131,1
V000131,W000822,133,169,1
T000478,V000130,45,172,1
C001090,N000179,122,143,0
C001087,M001177,152,170,8
C001101,S001196,40,165,2
C001106,L000559,52,165,0
M001180,S001176,123,125,7
C000754,E000179,127,165,0
S001200,V000130,158,172,0
D000624,J000032,153,168,0
D000617,F000454,157,172,1
G000571,S000510,139,154,0
D000096,T000470,28,156,0
H001068,L000569,26,165,0
G000580,S001168,42,165,0
G000579,S000185,33,171,1
E000288,V000131,118,146,0
G000565,H000874,41,161,0
P000601,Y000065,154,160,10
M001184,T000467,114,172,6
C001072,G000566,39,165,0
B001282,P000588,158,160,16
C001103,C001107,138,157,5
G000535,M001197,27,156,0
G000546,S001150,39,165,0
M001198,S001154,167,168,6
B001300,C001097,144,164,2
L000586,R000588,121,152,1
L000560,E000298,43,128,0
B001273,B001260,127,131,10
H001048,Y000063,164,169,7
R000606,C001115,1,14,0
I000056,W000814,156,162,4
C001101,O000171,101,165,1
B001300,H001077,39,166,1
B001283,D000604,85,89,4
B001275,R000583,151,152,6
D000482,J000295,42,173,1
C001061,R000570,3,161,0
B001294,D000614,164,166,4
C001069,Y000063,51,168,1
L000566,M000312,27,172,0
J000295,U000031,159,171,3
G000546,L000570,38,165,0
B000213,S001201,76,167,2
F000466,M001181,111,133,3
B001227,M001158,40,161,0
L000554,R000607,136,163,1
S001183,S001172,165,169,10
C001077,S000480,13,102,0
M001143,S001200,151,172,0
B001286,R000395,60,157,1
A000371,W000816,58,169,3
H001038,M001201,42,168,1
O000170,T000462,29,99,1
D000604,M001187,128,134,5
R000607,E000298,121,124,5
N000015,W000815,38,169,0
B001270,S001175,118,134,0
B001296,S001183,47,167,2
B001304,C001051,44,161,0
S001172,S000522,140,168,4
R000576,T000470,59,170,0
C001097,N000190,34,107,2
D000627,Z000017,46,168,0
K000375,L000263,150,171,0
D000621,S000522,138,166,4
C001092,G000581,73,166,3
B001300,D000191,134,161,0
L000480,P000598,131,159,0
S001172,V000130,43,168,0
C001076,C001068,12,56,0
C001109,H001059,164,166,8
C001105,R000435,125,155,3
A000369,D000612,164,167,5
B001278,R000603,34,171,0
M001188,V000108,149,165,0
M001179,R000576,54,160,0
H001068,S001170,138,158,0
O000171,R000604,100,171,3
S000510,W000820,26,162,0
M001180,M001194,169,173,10
C001048,Z000017,164,169,7
L000570,S001150,163,173,0
K000378,R000409,154,171,3
L000565,N000189,59,158,1
E000296,T000472,154,168,0
N000002,H001078,17,112,0
P000597,R000588,140,154,0
B001285,C001051,55,163,2
B001299,T000238,169,172,6
N000179,S001165,125,141,0
