member_a_id,member_b_id,member_a_name,member_b_name,votes_same,bills_same,mutual_sponsorships
A000360,F000444,Lamar Alexander,Jeff Flake,15,22,1
H001069,M000934,Heidi Heitkamp,Jerry Moran,12,19,2
B001230,C001098,Tammy Baldwin,Ted Cruz,8,24,0
G000386,U000038,Charles Grassley,Mark Udall,11,24,0
C000880,T000250,Michael Crapo,John Thune,18,25,1
G000555,R000595,Kirsten Gillibrand,Marco Rubio,8,24,0
C001099,S000320,William Cowan,Richard Shelby,4,6,0
R000584,S001194,Jim Risch,Brian Schatz,8,23,0
B001236,K000384,John Boozman,Tim Kaine,14,24,0
S001194,S001141,Brian Schatz,Jeff Sessions,9,21,0
B001267,C000880,Michael Bennet,Michael Crapo,11,25,1
A000368,C000141,Kelly Ayotte,Benjamin Cardin,17,25,1
E000285,M001111,Michael Enzi,Patty Murray,11,22,0
B001265,C001099,Mark Begich,William Cowan,4,4,2
C000174,M001176,Thomas Carper,Jeff Merkley,17,24,2
B001265,S000320,Mark Begich,Richard Shelby,14,23,1
C000880,F000457,Michael Crapo,Al Franken,11,25,2
C001035,K000148,Susan Collins,John Kerry,2,2,0
G000359,R000307,Lindsey Graham,Pat Roberts,16,24,1
M001183,M001176,Joe Manchin,Jeff Merkley,20,23,2
K000360,M001169,Mark Kirk,Christopher Murphy,14,22,3
B000575,C001071,Roy Blunt,Bob Corker,17,25,2
K000383,M000133,Angus King,Edward Markey,15,16,1
B001230,S000033,Tammy Baldwin,Bernard Sanders,22,23,2
C001098,S000033,Ted Cruz,Bernard Sanders,6,23,0
B001230,J000177,Tammy Baldwin,Tim Johnson,21,24,3
C001070,F000463,Bob Casey,Deb Fischer,15,23,0
C001088,P000603,Christopher Coons,Rand Paul,7,22,0
C000567,M001169,Thad Cochran,Christopher Murphy,16,21,0
F000457,H000338,Al Franken,Orrin Hatch,14,25,0
C000542,M000303,Daniel Coats,John McCain,15,23,1
A000360,L000123,Lamar Alexander,Frank Lautenberg,2,3,0
F000457,J000291,Al Franken,Mike Johanns,15,23,1
N000032,T000464,Bill Nelson,Jon Tester,22,25,2
A000368,M000355,Kelly Ayotte,Mitch McConnell,17,25,1
B001135,M001170,Richard Burr,Claire McCaskill,14,21,1
R000584,S000033,Jim Risch,Bernard Sanders,8,24,0
C001100,W000805,Jeffrey Chiesa,Mark Warner,4,4,0
E000285,L000123,Michael Enzi,Frank Lautenberg,0,3,0
I000055,R000595,Johnny Isakson,Marco Rubio,13,24,1
C000880,J000291,Michael Crapo,Mike Johanns,16,23,2
L000261,W000817,Carl Levin,Elizabeth Warren,22,24,3
J000291,T000250,Mike Johanns,John Thune,20,23,1
J000177,S000033,Tim Johnson,Bernard Sanders,22,24,2
F000444,M001183,Jeff Flake,Joe Manchin,14,23,1
B000711,M000355,Barbara Boxer,Mitch McConnell,12,23,0
A000360,S001194,Lamar Alexander,Brian Schatz,16,23,0
B001267,L000261,Michael Bennet,Carl Levin,22,25,2
B000243,H000206,Max Baucus,Tom Harkin,12,14,2
C001100,R000361,Jeffrey Chiesa,John Rockefeller,5,5,0
A000360,L000174,Lamar Alexander,Patrick Leahy,13,23,0
E000285,N000032,Michael Enzi,Bill Nelson,12,25,0
C001071,S001181,Bob Corker,Jeanne Shaheen,14,25,0
M000639,R000122,Robert Menendez,Jack Reed,24,25,4
G000386,R000361,Charles Grassley,John Rockefeller,12,25,0
D000607,V000127,Joe Donnelly,David Vitter,17,24,1
K000383,T000250,Angus King,John Thune,14,23,0
C001056,G000359,John Cornyn,Lindsey Graham,14,24,1
B001236,T000461,John Boozman,Patrick Toomey,16,25,1
B000575,S001181,Roy Blunt,Jeanne Shaheen,18,25,0
M000934,P000590,Jerry Moran,Mark Pryor,13,21,2
F000463,M000133,Deb Fischer,Edward Markey,9,16,0
C000174,W000802,Thomas Carper,Sheldon Whitehouse,17,25,3
C000560,M001183,Tom Coburn,Joe Manchin,9,22,1
L000123,M000639,Frank Lautenberg,Robert Menendez,3,3,2
K000384,T000461,Tim Kaine,Patrick Toomey,11,24,0
M001153,R000307,Lisa Murkowski,Pat Roberts,10,22,1
D000563,S000770,Richard Durbin,Debbie Stabenow,24,25,2
L000123,L000174,Frank Lautenberg,Patrick Leahy,3,3,2
M001111,S000320,Patty Murray,Richard Shelby,11,22,0
F000457,T000250,Al Franken,John Thune,16,25,0
F000457,M001176,Al Franken,Jeff Merkley,21,24,4
B001277,S000148,Richard Blumenthal,Charles Schumer,24,25,4
C000880,F000444,Michael Crapo,Jeff Flake,20,24,1
R000361,W000805,John Rockefeller,Mark Warner,22,24,3
J000177,S001181,Tim Johnson,Jeanne Shaheen,23,25,2
D000607,N000032,Joe Donnelly,Bill Nelson,23,24,2
F000062,I000055,Dianne Feinstein,Johnny Isakson,19,25,0
S001141,T000464,Jeff Sessions,Jon Tester,8,23,1
J000293,K000384,Ron Johnson,Tim Kaine,6,24,0
I000055,M000639,Johnny Isakson,Robert Menendez,18,25,2
R000595,S000770,Marco Rubio,Debbie Stabenow,8,24,0
B001267,R000307,Michael Bennet,Pat Roberts,8,24,0
M001111,W000805,Patty Murray,Mark Warner,19,21,2
K000384,K000360,Tim Kaine,Mark Kirk,15,22,2
C000880,M000133,Michael Crapo,Edward Markey,6,16,1
C001088,M001170,Christopher Coons,Claire McCaskill,19,20,2
C001070,L000123,Bob Casey,Frank Lautenberg,3,3,2
M000133,T000250,Edward Markey,John Thune,9,16,0
B001236,K000360,John Boozman,Mark Kirk,13,22,1
B001267,S000148,Michael Bennet,Charles Schumer,22,25,3
G000386,L000550,Charles Grassley,Mary Landrieu,13,24,1
B001236,M001169,John Boozman,Christopher Murphy,13,24,1
F000457,K000383,Al Franken,Angus King,22,23,3
C000542,C001099,Daniel Coats,William Cowan,5,6,0
A000360,F000463,Lamar Alexander,Deb Fischer,19,22,1
E000285,W000805,Michael Enzi,Mark Warner,14,24,2
B000243,R000584,Max Baucus,Jim Risch,5,14,0
C001056,N000032,John Cornyn,Bill Nelson,11,24,0
S000770,W000817,Debbie Stabenow,Elizabeth Warren,23,24,2
B001135,P000603,Richard Burr,Rand Paul,17,23,1
B001267,G000359,Michael Bennet,Lindsey Graham,17,25,1
C000880,K000383,Michael Crapo,Angus King,9,23,1
H001069,R000146,Heidi Heitkamp,Harry Reid,22,23,2
I000024,M001176,James Inhofe,Jeff Merkley,9,21,0
B001265,C000542,Mark Begich,Daniel Coats,15,23,1
H000338,V000127,Orrin Hatch,David Vitter,15,25,1
H000206,M001183,Tom Harkin,Joe Manchin,19,23,2
J000291,K000383,Mike Johanns,Angus King,13,21,0
C000567,K000384,Thad Cochran,Tim Kaine,17,21,0
H001046,L000577,Martin Heinrich,Mike Lee,4,23,0
F000463,L000123,Deb Fischer,Frank Lautenberg,1,3,0
C001100,E000285,Jeffrey Chiesa,Michael Enzi,2,5,0
M001170,P000603,Claire McCaskill,Rand Paul,7,20,1
R000146,T000250,Harry Reid,John Thune,15,25,0
B001236,C000567,John Boozman,Thad Cochran,16,22,1
B001261,D000563,John Barrasso,Richard Durbin,13,24,0
B001277,F000444,Richard Blumenthal,Jeff Flake,10,24,0
A000360,C001070,Lamar Alexander,Bob Casey,17,22,0
B000944,H001041,Sherrod Brown,Dean Heller,15,23,1
I000055,S000148,Johnny Isakson,Charles Schumer,19,25,2
M000639,M001153,Robert Menendez,Lisa Murkowski,20,23,2
C001100,M001111,Jeffrey Chiesa,Patty Murray,5,5,0
B001135,C001088,Richard Burr,Christopher Coons,15,24,0
H000206,U000039,Tom Harkin,Tom Udall,22,24,2
M000355,S001181,Mitch McConnell,Jeanne Shaheen,15,25,0
H000338,N000032,Orrin Hatch,Bill Nelson,15,25,0
J000291,M000133,Mike Johanns,Edward Markey,8,14,1
B001288,B000711,Cory Booker,Barbara Boxer,11,11,1
D000607,P000449,Joe Donnelly,Rob Portman,15,24,1
M001183,S001194,Joe Manchin,Brian Schatz,19,22,2
K000367,M001170,Amy Klobuchar,Claire McCaskill,19,21,2
C001035,H001061,Susan Collins,John Hoeven,23,25,2
